spec_id,rank,pred_smiles,gt_smiles,exact_match,tanimoto
spectraverse_pos_000001,1,COc1cc(CC(=O)OC(O)CC(OC)OC)c(OC)cc1C,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.2131
spectraverse_pos_000001,2,COc1cc(C)cc(O)c1OCC=O.COc1ccc(OC)c(OC)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.375
spectraverse_pos_000001,3,CO.COc1cc2c(cc1OC)C(=O)COC(C)C=C(C)O2,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1875
spectraverse_pos_000001,4,COCC(=O)OC.COc1cccc(C)c1.COc1cccc(OC)c1,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.2545
spectraverse_pos_000001,5,CCOC.CO.COC1=CC(OC)=C2C3OC(C)C(=O)C3(C)C12,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1286
spectraverse_pos_000001,6,COc1cc(OC2C(=O)OC2CC(C)OC)c(OC)cc1C,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1846
spectraverse_pos_000002,1,COc1cc2c(cc1O)OC(OC)C1OCCCC(=O)OC2CC1C,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1892
spectraverse_pos_000002,2,CO.COc1cc(C(C)CCO)cc2c1C(C(=O)O)CC(O)O2,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.2
spectraverse_pos_000002,3,COC1CC(O)COC1OC.Cc1cc2cc3c1OC3CC(=O)C2,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1316
spectraverse_pos_000002,4,COC(C)C1OCCC1O.COc1ccc2c(c1O)OC(C)CC2=O,COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1,0,0.1757
spectraverse_pos_000003,1,COc1cc(OC)c2c(c1)OCOc1cc(OC)c(OC)c(OC)c1C2=O,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3273
spectraverse_pos_000003,2,COc1cc(OC)c2c(c1)C(=O)c1c(cc(OC)c(OC)c1OC)C2CO,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2581
spectraverse_pos_000003,3,COc1cc2cc(c1OC)C(=O)c1c(cc(OC)c(OC)c1OC)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3455
spectraverse_pos_000003,4,COc1cc2c(c(OC)c1OC)C(=O)c1c(OC)cc(OC)c-2c1OCO,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2203
spectraverse_pos_000004,1,COc1cc2c(OC)c(c1)C(=O)c1c(cc(OC)c(OC)c1OC)OCC2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3051
spectraverse_pos_000004,2,COc1cc2c(c(OC)c1OC)C(=O)c1c(OC)cc(OC)c-2c1OCO,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2203
spectraverse_pos_000004,3,CO.COc1ccc2cc1C(=O)c1c(cc(OC)c(OC)c1OC)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.322
spectraverse_pos_000004,4,COc1cc2cc(c1OC)C(=O)c1c(cc(OC)c(OC)c1OC)OCC2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3158
spectraverse_pos_000004,5,COc1ccc(C(=O)OC2OCOc3cc(OC)c(OC)cc32)cc1OC,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3448
spectraverse_pos_000005,1,COc1ccc(OC)c(OC2c3ccc(OC)c(OC)c3OC2OC)c1OC,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3269
spectraverse_pos_000005,2,COc1cc(OC)c(OC)c(OC)c1COc1c(OC)cc2c(c1OC)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3704
spectraverse_pos_000005,3,COc1cc(COc2c(OC)cc3c(c2OC)C(OC)CO3)cc(OC)c1,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.339
spectraverse_pos_000006,1,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)c(c1)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4314
spectraverse_pos_000006,2,COc1cc2c(c(OC)c1)C(OC)c1cc(OC)c(OC)cc1COC2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.2586
spectraverse_pos_000006,3,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)c(c1)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4314
spectraverse_pos_000006,4,COc1cc2cc(c1)C(OC)c1c(cc(OC)c(OC)c1OC)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.3448
spectraverse_pos_000006,5,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)c(c1)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4314
spectraverse_pos_000006,6,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)c(c1)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4314
spectraverse_pos_000006,7,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)c(c1)OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4314
spectraverse_pos_000006,8,COc1cc2c(cc1OC)C(OC)c1cc(OC)c(OC)cc1OCO2,COc1cc2c(cc1OC)C1Oc3c(cc(OC)c(OC)c3OC)C1CO2,0,0.4222
